Basque,Catalan,Dutch,Filipino,Finnish,French,German,Haitian Creole,Hindi,Indonesian,Italian,Lithuanian,Norwegian,Polish,Portuguese,Romanian,Spanish,Swedish,Turkish,Undefined,Vietnamese
2020-07-08,0,0,10,0,2,24,13,0,0,1,11,1,0,3,13,0,0,0,0,0,0
2020-07-09,0,0,6,0,1,28,22,0,0,0,17,1,0,4,19,1,0,0,0,0,0
2020-07-10,0,0,11,0,1,13,10,0,0,0,15,1,0,1,25,0,0,0,0,0,0
2020-07-11,0,0,12,0,0,11,13,0,0,0,11,0,0,2,10,1,1,0,0,0,0
2020-07-12,0,0,11,0,0,14,7,0,0,0,17,2,0,4,10,3,0,0,0,0,0
2020-07-13,0,0,6,1,2,34,12,0,0,0,20,4,0,4,14,4,0,0,0,0,0
2020-07-14,0,0,13,0,0,34,11,0,0,0,19,2,0,4,15,2,0,0,0,0,0
2020-07-15,0,0,15,0,0,35,18,0,0,0,18,1,0,2,17,4,2,0,0,0,0
2020-07-16,0,0,8,0,1,26,8,0,0,0,21,1,0,1,24,2,0,0,0,0,0
2020-07-17,0,0,8,0,1,20,15,0,0,0,8,1,0,3,16,1,0,0,0,0,0
2020-07-18,0,0,13,1,1,43,12,0,0,0,16,1,0,2,10,0,0,0,0,0,0
2020-07-19,0,0,9,0,0,22,8,0,0,0,9,0,0,5,12,1,0,0,0,0,0
2020-07-20,0,0,8,0,0,44,14,0,0,0,19,0,0,3,15,2,0,0,0,0,0
2020-07-21,0,0,21,0,2,29,7,0,0,0,14,0,0,4,41,2,0,1,0,0,0
2020-07-22,0,0,31,0,1,22,14,0,0,0,14,1,0,2,33,3,1,0,0,0,0
2020-07-23,0,0,44,0,1,35,29,0,0,0,44,6,0,7,18,4,0,0,0,0,0
2020-07-24,0,0,54,0,4,21,58,0,0,0,49,3,0,6,26,2,0,0,0,0,0
2020-07-25,0,0,32,0,1,25,29,1,0,0,49,2,0,6,12,0,0,0,0,0,0
2020-07-26,0,0,15,0,0,18,22,0,0,0,26,1,0,3,8,0,0,0,0,0,0
2020-07-27,0,0,31,0,0,22,32,0,0,0,31,2,0,0,17,3,0,0,0,0,0
2020-07-28,0,0,29,0,2,22,26,0,0,0,24,14,0,1,13,3,0,0,0,0,0
2020-07-29,0,0,18,0,2,33,40,0,0,0,17,12,0,4,29,1,0,0,0,0,0
2020-07-30,0,1,26,0,1,31,23,0,0,0,17,1,0,3,13,1,0,0,0,0,0
2020-07-31,0,0,17,0,0,26,20,0,0,0,24,2,0,2,8,0,1,0,0,0,0
2020-08-01,0,0,16,0,0,23,32,0,0,0,22,0,0,4,14,1,0,0,0,0,0
2020-08-02,0,0,16,0,1,27,35,0,0,0,26,1,0,2,9,0,0,0,1,0,0
2020-08-03,0,0,21,0,0,37,44,0,0,0,13,2,0,0,17,0,0,0,0,0,0
2020-08-04,0,0,13,0,13,37,33,0,0,0,6,1,0,4,22,0,0,0,0,0,0
2020-08-05,0,0,14,0,13,26,21,0,0,0,29,4,0,2,20,1,0,0,0,0,0
2020-08-06,0,0,31,1,0,17,13,0,0,0,9,4,0,4,21,1,0,0,0,0,0
2020-08-07,0,0,25,0,2,22,13,0,0,0,21,3,0,3,17,1,1,0,0,0,0
2020-08-08,0,0,10,0,1,18,15,0,0,0,13,2,0,3,19,2,0,0,0,0,0
2020-08-09,0,0,19,0,1,24,6,0,0,0,17,1,0,2,16,0,0,0,0,0,0
2020-08-10,0,0,17,0,5,34,13,0,0,0,20,2,0,7,10,2,0,0,0,0,0
2020-08-11,0,0,22,0,0,26,15,0,0,0,14,1,0,3,25,0,1,0,0,0,0
2020-08-12,0,0,22,1,4,24,11,2,0,0,24,3,0,2,14,0,0,0,0,0,0
2020-08-13,0,0,23,0,0,22,13,0,0,0,13,1,0,1,20,1,0,0,0,0,0
2020-08-14,0,0,11,0,4,32,8,0,0,0,10,2,0,3,18,2,0,0,0,0,0
2020-08-15,0,0,20,0,0,20,11,0,0,0,9,2,0,1,7,0,0,0,0,0,0
2020-08-16,0,0,11,0,1,25,12,0,0,0,12,0,0,3,7,1,0,0,0,0,0
2020-08-17,0,0,16,0,2,20,10,0,0,0,27,0,0,2,12,0,0,0,0,0,0
